Title,Author(s),Shelf,Genre,Owner,Short Description,Long Description,ISBN
Miracle Boy Grows Up: How the Disability Rights Revolution Saved my Sanity,Ben Mattlin,A1,,House
"Dude, You're a Fag",C.J. Pascoe,A1,,House
Nervous Conditions,Tsitsi Dangerembya,A1,,House
Crescent,Diana Abu-Jaber,A1,,House
Projections: The New Science of Human Emotion,Karl Deisseroth,,"Neuroscience, Psychology, Psychiatry",Jonathan
The Idiot,Fyodor Dostoevsky,,Fiction,Jonathan
Human Compatible: Artificial Intelligence and the Problem of Control,Stuart Russell,,"Machine Learning, AI Alignment, Existential Risk",Jonathan
"I, Robot",Isaac Asimov,,Sci-Fi,Jonathan
The Age of AI (And Our Human Future),"Henry A. Kissinger, Eric Schmidt, Daniel Huttenlocher",,Misc. Non-Fic,Jonathan
Blondie24: Playing at the Edge of AI,David B. Fogel,,Machine Learning,Jonathan
"A Brief History of the Future: How visionary thinkers changed the world and tomorrow's trends are ""made"" and marketed",Oona Strathern,,"Misc. Non-Fic, Futurism",Jonathan
Virtual Reality: The Revolutionary Technology of Computer-Generated Artificial Worlds and How It Promises to Transform Society,Howard Rheingold,,Misc. Non-Fic,Jonathan
"Minds, Machines, and the Multiverse: The Quest for the Quantum Computer",Julian Brown,,Misc. Non-Fic,Jonathan
The Society of Mind,Marvin Minsky,,"Machine Learning, Philosophy"
Reasons and Persons,Derek Parfit,,Philosophy
An Unofficial Nick Bostrom Anthology,Nick Bostrom,,AI Alignment
Inadequate Equilibria: Where and How Civilizations Get Stuck,Eliezer Yudkowsky,,Existential Risk
Center for Applied Rationality Participant Handbook,Center for Applied Rationality,,Reference
Map and Territory,Eliezer Yudkowsky,,"Misc. Non-Fic, Psychology"
How to Actually Change Your Mind,Eliezer Yudkowsky,,Misc. Non-Fic
How to Launch a High-Impact Non-profit,"Joey Savoie, Patrick Stadler",,Misc. Non-Fic
Structure and Evolution of the Stars,Martin Schwarzschild,,Physics
"Good Omens, The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",,Fiction
Soonish: Ten Emerging Technologies That'll Improve and/or Ruin Everything,Kelly and Zach Weinersmith,,Misc. Non-Fic
"Gödel, Escher, Bach: an Eternal Golden Braid",Douglas R. Hofstadter,,Biography
The Road to Reality: A Complete Guide to the Laws of the Universe,Roger Penrose,,Mathematics
Introduction to Electrodynamics,David J. Griffiths,,Physics
Introduction to Quantum Mechanics,David J. Griffiths,,Physics
Progress of Theoretical and Experimental Physics - The Review of Particle Physics,Particle Data Group,,Physics
"Energy Landscapes:  Applications to Clusters, Biomolecules and Glasses",David Wales,,"Physics, Chemistry"
Quantum Computation and Quantum Information,"Isaac Chuang, Michael Nielsen",,Physics
Complex Analysis,Lars Alfohrs,,Mathematics
Principles of Mathematical Analysis,Rudin,,Mathematics
Abstract Algebra,"David S. Dummit, Richard M. Foote",,Mathematics
Principles of Biochemistry,"David L. Nelson, Michael M. Cox",,Chemistry
SSC: Essays 2013-2014,Scott Alexander,,Misc. Non-Fic
SSC: Essays 2018-2019,Scott Alexander,,Misc. Non-Fic
The Scout Mindset: Why Some People See Things Clearly and Others Don't,Julia Galef,,"Misc. Non-Fic, Psychology"
The Goddess of Everything Else,Scott Alexander,,Fiction
Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",,Machine Learning
Deep Learning for Dummies,"John Paul Mueller, Luca Massaron",,Machine Learning
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",,Machine Learning
Algebra,Michael Artin,,Mathematics
Differential Geometry of Curves & Surfaces,Manfredo P. Do Carmo,,Mathematics
Visual Differential Geometry and Forms: A mathematical drama in five acts,Tristan Needham,,Mathematics
The Martian,Andy Weir,,Sci-Fi
Stories of Your Life and Others,Ted Chiang,,Sci-Fi
Exhalation,Ted Chiang,,Sci-Fi
The Big Book of Science Fiction,Various Authors,,Sci-Fi
Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald Rivest, Clifford Stein",,Computer Science
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",,Machine Learning
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,,"Existential Risk, AI Alignment"
The Most Important Century,Holden Karnofsky,,Existential Risk
"80,000 Hours: Find a Fulfilling Career that Does Good",Benjamin Todd,,Effective Altruism
Introduction to Plasma Physics,W. B. Thompson,,Physics
